id	filename	md5	size	state
04ce4521-9595-475c-af18-22f1d396dde5	04ce4521-9595-475c-af18-22f1d396dde5/TCGA-BRCA.c642e766-98e7-4ea8-907a-8390e7425df2.ascat3.gene_level_copy_number.v36.tsv	992714aa37853362a76f766bedbbb0bb	3445505	validated
10360021-a197-46aa-9c8e-feb3f542164d	10360021-a197-46aa-9c8e-feb3f542164d/TCGA-BRCA.548f7871-ac2a-469a-8f4a-4bda2aaae71a.absolute_liftover.gene_level_copy_number.v36.tsv	892c53851af34316b89d3d11ab1c074c	3428921	validated
206ed23b-2fdc-4a89-8904-cb1c5b9a4fb0	206ed23b-2fdc-4a89-8904-cb1c5b9a4fb0/TCGA-BRCA.e79dcb48-5228-42e7-8b67-1e51a68796e6.ascat3.gene_level_copy_number.v36.tsv	694ecedc70d9bae227e40f00f0c254d9	3445505	validated
266fd576-2577-4294-bdaf-2d2d34a272b4	266fd576-2577-4294-bdaf-2d2d34a272b4/TCGA-BRCA.da0238e7-c2e7-4a86-a3ef-3e49d1dfc228.absolute_liftover.gene_level_copy_number.v36.tsv	3a6108824bbe1f577bb710d7e5d38d4b	3436880	validated
525d4ed4-c65f-4f76-aad7-e2e2001ce86e	525d4ed4-c65f-4f76-aad7-e2e2001ce86e/TCGA-BRCA.a1eac6e1-39d3-4e29-a381-1bd7848b7bc2.absolute_liftover.gene_level_copy_number.v36.tsv	be1be8002a6e3dd3476446f6ffa70549	3436529	validated
62853e7e-71d0-484e-a58f-0db54e794112	62853e7e-71d0-484e-a58f-0db54e794112/TCGA-BRCA.05936306-3484-48d1-9305-f4596aed82f3.absolute_liftover.gene_level_copy_number.v36.tsv	e34c921c84b50299255611ed05ae84b7	3432596	validated
64825c6e-8074-4adf-8f54-462875593f95	64825c6e-8074-4adf-8f54-462875593f95/TCGA-BRCA.a9914a13-282b-42c9-ae86-ad7241f462a9.ascat3.gene_level_copy_number.v36.tsv	00f79965766a9eb7b93274369870148a	3446393	validated
66c5fda2-ef4c-4a89-88a1-43403ed9cc7c	66c5fda2-ef4c-4a89-88a1-43403ed9cc7c/TCGA-BRCA.37d17072-0bcc-41ed-a80e-87a27ea956d4.ascat3.gene_level_copy_number.v36.tsv	d0357660f2950dcd6b0ce464bd8cb07f	3445912	validated
6a082522-6730-4359-923b-f05f7e6c2b70	6a082522-6730-4359-923b-f05f7e6c2b70/TCGA-BRCA.62f32fa7-690a-4896-980a-831208a3c6ae.ascat3.gene_level_copy_number.v36.tsv	d4991fce0baec62ec8fe925d1cd73304	3445959	validated
6a83b19d-999d-4f5c-909f-47b9006009f2	6a83b19d-999d-4f5c-909f-47b9006009f2/TCGA-BRCA.e28bac01-5bd3-4b66-83f7-2c778be9a0d5.ascat3.gene_level_copy_number.v36.tsv	954e109c7cc753af603e37e4c0d84c33	3445535	validated
791bbb6f-def9-47aa-b189-297205b68d99	791bbb6f-def9-47aa-b189-297205b68d99/TCGA-BRCA.9ba65dff-5f6c-4d9e-8e58-8350a7c1dcbe.ascat3.gene_level_copy_number.v36.tsv	6e70e18b513a50dc045b853ad0dc2007	3447561	validated
7dc99125-5937-483b-a75a-f0493e352442	7dc99125-5937-483b-a75a-f0493e352442/TCGA-BRCA.aee8a3d7-7392-4e87-8315-b4fb849705fe.absolute_liftover.gene_level_copy_number.v36.tsv	fd0251ff286837b955a753066d3df758	3432635	validated
85f40e06-5eb6-4487-8115-b13827276362	85f40e06-5eb6-4487-8115-b13827276362/TCGA-BRCA.3830d91c-48eb-4f67-9db9-1a4ff4b28c92.absolute_liftover.gene_level_copy_number.v36.tsv	59c40e04fe23056f4178c3368e4ef95f	3432809	validated
8a767f95-2109-43bb-80b0-b17ff79f6a1c	8a767f95-2109-43bb-80b0-b17ff79f6a1c/TCGA-BRCA.e96765f9-45a3-446f-924a-45202dd4b7db.ascat3.gene_level_copy_number.v36.tsv	f755bbec9f07b6663651349098ae4f5f	3445502	validated
8f67d704-bfa8-4a26-a4fd-62dc18170e42	8f67d704-bfa8-4a26-a4fd-62dc18170e42/TCGA-BRCA.80ffdd30-9845-4ee5-8f68-f272c0b0b1f5.ascat3.gene_level_copy_number.v36.tsv	251cea0f36dd71acc1972b6974f9db86	3447676	validated
